name,cnt,rec,avg,min,p05,p25,p50,p75,p95,p99,p999,max
update,20756,20756,90.306,60,80,80,90,90,100,170,270,9847
extract_features,10379,10379,55.886,40,50,50,50,60,60,100,340,970
compute_ns,10379,10379,161.348,80,140,150,160,160,200,260,630,8415
