name,cnt,rec,avg,min,p05,p25,p50,p75,p95,p99,p999,max
update,20756,20756,77.118,50,60,60,70,90,100,110,140,8671
extract_features,10379,10379,28.364,20,20,30,30,30,30,40,80,480
compute_ns,10379,10379,106.185,40,90,100,100,110,120,130,190,8687
