s_winsize_sum,s_winsize_std,s_winsize_mean,s_winsize_med,s_bytes_sum,d_winsize_med,d_winsize_mean,d_winsize_sum,d_winsize_std,s_bytes_std,s_bytes_mean,d_winsize_min,d_ttl_sum,d_bytes_sum,d_bytes_std,d_bytes_mean,s_bytes_max,s_winsize_min,d_winsize_max,d_iat_max,s_iat_sum,dur,s_iat_max,d_iat_sum,s_iat_std,s_iat_mean,s_load,d_load,d_ttl_min,d_ttl_mean,d_ttl_med,d_ttl_max,d_iat_mean,s_winsize_max,d_bytes_max,syn_ack,s_port,d_iat_med,tcp_rtt,ack_cnt,s_ttl_sum,d_bytes_med,s_iat_med,d_iat_std,d_iat_min,s_pkt_cnt,d_port,d_pkt_cnt,psh_cnt,s_bytes_med,ack_dat,s_iat_min,s_ttl_min,s_ttl_max,s_ttl_med,s_ttl_mean,d_bytes_min,s_bytes_min,fin_cnt,d_ttl_std,rst_cnt,syn_cnt,proto,pkt_depth,neg_f1_score,compute_cost,Timestamp
false,false,true,false,false,false,true,true,false,true,false,true,true,false,true,true,true,false,true,true,false,true,true,true,true,false,false,false,false,true,true,false,true,false,true,false,true,false,false,false,true,true,true,true,false,true,true,true,true,false,false,true,false,true,false,true,true,false,false,false,true,true,false,2,-0.9056322292207017,180.0,40356
true,true,false,true,true,false,true,true,true,false,true,true,true,false,true,true,true,true,true,false,false,false,false,false,true,false,false,true,true,true,true,true,true,false,false,false,true,false,true,false,true,false,false,true,false,false,true,true,false,true,false,false,true,true,false,false,false,false,false,false,false,false,true,1,-0.8765364650027906,130.0,80724
true,true,false,true,true,false,true,true,true,true,false,true,false,false,true,true,false,true,true,true,true,true,false,true,true,true,true,true,true,true,true,false,false,false,true,true,true,false,true,true,true,false,true,false,false,false,true,true,true,true,false,false,false,false,false,true,true,true,false,false,false,false,false,1,-0.8765364650027906,120.0,120937
true,true,true,true,false,true,false,false,true,true,false,true,true,true,true,false,true,true,true,false,true,true,true,true,true,false,false,true,true,false,true,true,true,false,true,false,false,false,true,false,true,false,false,true,false,true,true,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,true,2,-0.9045389371379577,290.0,161283
true,true,true,true,false,true,true,false,false,true,true,false,false,true,true,true,true,false,true,true,true,true,false,true,true,true,false,true,false,true,false,false,false,true,false,true,false,true,false,true,false,false,true,true,true,true,true,true,false,true,false,true,false,false,false,false,false,false,true,false,true,false,false,2,-0.9026940689972633,240.0,201671
false,true,false,true,false,false,false,true,true,true,true,false,true,false,false,false,true,false,false,true,false,true,false,false,false,false,true,false,true,false,false,false,true,false,false,false,false,false,true,false,true,true,true,false,false,true,true,false,false,true,false,true,true,false,false,false,true,true,false,false,true,true,false,1,-0.8035214759178313,140.0,245299
false,false,true,true,false,true,false,true,false,true,true,false,true,false,true,false,false,false,true,false,false,false,false,true,true,false,true,false,true,false,true,false,true,false,true,true,true,true,true,false,false,false,false,true,true,true,true,false,true,false,false,false,true,true,false,false,true,true,true,false,true,true,true,2,-0.9074399594907407,260.0,289698
false,false,false,true,true,false,false,true,true,true,true,false,false,true,true,true,true,false,false,false,false,true,true,false,false,false,false,false,true,true,false,false,true,false,true,false,false,true,false,false,false,true,true,true,true,false,false,true,true,false,false,false,true,true,false,true,true,true,false,false,false,false,true,2,-0.8431325759384157,290.0,329952
false,true,true,true,false,true,true,false,false,true,true,false,false,true,false,false,true,false,true,false,true,false,false,true,false,false,true,false,false,true,false,true,false,false,true,false,false,false,true,false,false,true,true,true,false,true,true,true,false,true,false,true,true,false,false,false,false,false,true,false,true,true,false,1,-0.8035214759178313,140.0,374120
false,true,true,false,false,false,false,false,true,false,false,true,false,true,false,false,true,true,true,true,false,false,true,true,true,true,true,true,false,true,true,false,false,false,false,false,true,true,true,false,true,true,false,false,false,true,false,true,false,true,false,false,true,true,false,true,false,true,false,true,true,true,false,3,-0.9292727970449778,340.0,418748
true,false,true,true,false,false,false,false,true,false,false,false,true,false,false,false,true,false,false,true,false,true,false,false,true,false,true,false,true,true,false,false,true,false,false,true,true,false,true,true,false,true,true,false,false,true,false,true,true,false,false,true,true,false,false,true,true,true,true,true,false,true,false,3,-0.7201173559887276,330.0,464004
true,false,true,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,true,true,true,false,true,true,true,false,true,true,false,false,false,true,false,true,true,false,false,false,false,true,true,false,false,false,false,false,false,true,true,true,false,false,false,true,true,true,false,true,true,true,false,3,-0.8793257435189614,340.0,504366
false,true,false,true,false,false,false,true,true,true,true,true,true,false,false,false,true,false,true,false,true,false,true,true,true,true,true,false,false,true,false,true,true,true,false,true,true,true,true,true,false,true,false,false,true,true,true,true,true,true,false,false,false,true,false,false,true,false,true,true,true,true,false,1,-0.8765364650027906,110.0,549578
true,false,true,false,false,false,true,false,true,false,true,false,false,false,false,false,true,true,true,false,false,false,false,true,true,true,true,true,false,false,false,false,true,true,false,true,true,false,true,false,false,true,false,false,false,true,false,true,true,false,false,true,true,true,true,true,false,true,true,true,false,false,true,2,-0.835027553209797,240.0,594714
false,true,true,true,true,false,true,true,false,true,false,true,false,true,false,false,true,false,true,false,false,true,true,true,true,false,false,true,false,false,false,false,true,true,false,false,false,false,true,true,false,true,true,false,false,true,true,true,true,true,false,false,true,true,false,false,true,true,true,true,true,false,false,3,-0.9685884142857186,440.0,640785
false,false,true,true,true,true,true,true,false,false,true,false,false,true,false,false,false,true,true,true,true,false,true,false,true,true,true,true,false,true,true,false,true,false,false,true,false,false,false,true,false,true,true,true,true,false,true,false,true,true,false,false,true,false,true,true,true,true,true,true,true,true,true,1,-0.8035214759178313,120.0,686145
false,false,true,false,true,false,false,true,false,true,false,false,true,true,false,false,false,true,true,false,false,true,true,false,true,true,false,true,false,true,true,true,true,false,true,true,true,false,true,true,true,true,true,true,false,false,true,true,true,false,true,true,true,true,false,true,true,true,false,true,false,true,false,1,-0.8765364650027906,110.0,731579
false,true,true,false,true,false,true,false,true,true,true,false,true,false,false,true,true,false,true,true,true,true,true,true,true,false,false,true,false,false,true,false,false,true,true,true,false,true,false,true,true,false,true,false,true,true,true,true,true,true,true,false,false,false,false,true,true,true,false,false,false,true,false,1,-0.7938337917211957,120.0,776046
false,true,true,true,true,true,false,false,false,true,true,true,true,true,false,false,false,true,false,false,true,false,false,true,true,true,false,true,false,true,true,true,false,true,true,true,true,true,true,false,true,true,false,false,false,true,false,false,true,false,true,true,false,true,false,false,false,true,false,false,false,true,false,1,-0.7611686122563712,140.0,821706
false,false,false,false,true,false,false,false,true,false,true,false,true,true,true,false,true,true,false,false,true,true,true,false,true,false,false,true,true,true,true,true,false,true,false,true,false,true,true,true,true,true,false,true,true,true,true,false,true,true,false,false,true,true,false,true,true,true,false,true,true,false,true,1,-0.7938337917211957,90.0,867282
