s_winsize_sum,s_winsize_std,s_winsize_mean,s_winsize_med,s_bytes_sum,d_winsize_med,d_winsize_mean,d_winsize_sum,d_winsize_std,s_bytes_std,s_bytes_mean,d_winsize_min,d_ttl_sum,d_bytes_sum,d_bytes_std,d_bytes_mean,s_bytes_max,s_winsize_min,d_winsize_max,d_iat_max,s_iat_sum,dur,s_iat_max,d_iat_sum,s_iat_std,s_iat_mean,s_load,d_load,d_ttl_min,d_ttl_mean,d_ttl_med,d_ttl_max,d_iat_mean,s_winsize_max,d_bytes_max,syn_ack,s_port,d_iat_med,tcp_rtt,ack_cnt,s_ttl_sum,d_bytes_med,s_iat_med,d_iat_std,d_iat_min,s_pkt_cnt,d_port,d_pkt_cnt,psh_cnt,s_bytes_med,ack_dat,s_iat_min,s_ttl_min,s_ttl_max,s_ttl_med,s_ttl_mean,d_bytes_min,s_bytes_min,fin_cnt,d_ttl_std,rst_cnt,syn_cnt,proto,pkt_depth,neg_f1_score,compute_cost,Timestamp
false,false,true,true,false,false,true,true,false,false,false,false,true,false,false,false,true,true,true,false,true,false,false,true,true,false,true,true,true,true,true,true,false,true,true,false,true,false,true,true,false,false,true,true,false,true,false,false,false,false,false,false,true,true,true,false,true,true,true,true,true,false,true,2,-0.8656718283629723,220.0,40575
true,false,true,true,true,true,false,true,true,true,false,true,true,false,true,true,false,true,true,false,true,false,true,false,true,false,false,true,false,true,true,true,false,true,true,true,true,true,false,false,false,true,false,true,true,true,false,true,true,true,true,false,false,false,true,false,true,true,false,true,true,false,false,1,-0.7611686122563712,140.0,81061
true,true,false,true,true,true,true,true,true,true,false,true,true,true,true,true,false,true,true,false,true,false,false,false,false,true,false,true,true,false,false,false,true,true,false,false,true,false,true,false,true,true,true,true,false,true,true,false,false,true,false,false,true,true,false,false,true,true,true,false,false,false,false,1,-0.8765364650027906,130.0,121330
false,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,true,false,false,true,false,false,false,false,true,false,true,true,true,true,false,false,false,true,true,true,true,true,false,true,true,false,true,false,true,true,true,true,false,false,true,true,false,false,false,false,false,false,false,false,false,true,1,-0.8765364650027906,130.0,161647
false,true,true,true,false,false,true,false,true,true,true,true,true,false,true,false,true,true,true,false,true,true,false,false,false,true,false,false,true,true,false,false,false,true,true,false,false,true,false,true,true,true,true,true,true,false,false,true,true,false,false,true,false,false,true,false,false,true,false,true,false,false,false,3,-0.9025138536737369,380.0,202282
true,false,true,true,true,false,true,true,true,true,true,true,true,true,false,true,false,true,true,true,false,true,false,false,true,false,false,true,false,false,false,true,true,false,true,true,true,true,true,true,true,true,true,true,false,true,false,true,false,true,true,true,false,true,false,true,true,false,false,false,false,true,true,1,-0.7611686122563712,110.0,242826
true,true,true,true,true,true,true,true,false,false,true,true,true,true,true,false,true,true,true,false,false,true,true,false,true,true,true,true,true,true,false,false,false,false,true,true,true,false,true,false,false,true,true,false,false,false,true,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,1,-0.8765364650027906,120.0,283246
true,true,false,true,true,true,true,false,true,false,true,false,true,true,false,true,true,true,true,true,true,false,true,false,true,true,false,false,false,true,false,false,true,true,false,true,false,false,false,false,false,false,true,false,false,true,false,false,false,true,true,false,false,true,true,false,false,false,true,false,false,false,false,1,-0.6393248139250974,120.0,323026
true,true,true,true,false,false,true,true,true,true,false,true,true,false,false,true,true,true,true,true,true,false,true,true,true,false,true,false,false,false,false,true,true,true,true,true,false,false,false,false,false,true,true,false,false,true,false,true,true,false,false,true,false,false,false,false,false,false,false,true,false,true,true,3,-0.9188739895408854,370.0,363681
true,true,false,true,true,true,false,true,true,false,false,true,false,false,false,true,false,true,true,false,true,false,false,false,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true,true,true,false,false,false,false,true,false,true,true,false,true,false,false,false,true,true,false,true,false,false,true,false,false,1,-0.6393248139250974,100.0,403910
false,false,true,true,true,false,false,false,true,false,false,false,true,true,true,true,true,true,false,false,true,false,false,false,true,true,true,false,true,false,true,true,false,false,true,false,false,true,false,true,false,false,true,false,true,true,true,true,true,true,false,true,false,false,true,true,false,true,true,true,false,true,true,1,-0.8035214759178313,120.0,448882
false,true,true,false,true,true,true,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,true,false,true,true,true,false,false,true,false,false,false,false,false,true,true,false,false,true,false,true,true,false,false,true,true,true,true,false,false,true,false,false,true,false,false,true,false,false,false,false,false,3,-0.9596860829906148,330.0,493643
false,true,false,true,true,false,true,false,true,true,false,false,false,true,false,true,true,false,true,false,true,false,true,false,true,false,false,false,false,true,true,true,false,false,true,true,false,true,true,true,false,false,true,false,false,false,false,true,false,true,false,true,false,false,false,true,false,true,true,false,false,true,true,1,-0.6393248139250974,120.0,538472
true,true,true,true,false,true,false,true,false,false,false,true,true,true,true,false,false,true,true,false,true,true,false,false,false,true,false,true,false,false,true,false,true,false,false,false,true,false,true,false,true,false,true,true,true,true,true,true,false,false,false,true,false,false,true,false,false,true,true,false,true,false,true,2,-0.8761160756089981,260.0,578916
true,true,true,false,true,false,true,true,true,false,false,false,false,true,false,false,true,true,false,true,false,true,true,false,false,true,true,true,true,false,false,false,true,true,true,true,true,true,true,false,false,false,false,false,true,false,true,false,false,false,false,false,true,false,true,false,false,true,true,false,true,false,true,2,-0.9061029411764706,250.0,624629
false,false,false,true,false,false,true,false,false,true,true,false,false,false,false,false,true,false,true,false,false,true,true,false,false,false,false,false,false,false,true,false,false,true,false,false,true,false,false,true,true,false,false,false,true,true,true,true,true,false,false,true,false,false,false,true,false,true,false,false,false,true,true,1,-0.8765364650027906,120.0,668905
true,true,false,false,true,true,true,true,true,true,true,true,true,false,false,false,false,false,true,false,true,true,false,true,true,true,true,false,false,true,false,false,true,false,true,false,false,true,false,true,true,false,true,true,false,true,true,true,false,false,true,true,true,true,false,true,false,true,true,true,true,false,true,1,-0.7938337917211957,150.0,714492
