s_winsize_sum,s_winsize_std,s_winsize_mean,s_winsize_med,s_bytes_sum,d_winsize_med,d_winsize_mean,d_winsize_sum,d_winsize_std,s_bytes_std,s_bytes_mean,d_winsize_min,d_ttl_sum,d_bytes_sum,d_bytes_std,d_bytes_mean,s_bytes_max,s_winsize_min,d_winsize_max,d_iat_max,s_iat_sum,dur,s_iat_max,d_iat_sum,s_iat_std,s_iat_mean,s_load,d_load,d_ttl_min,d_ttl_mean,d_ttl_med,d_ttl_max,d_iat_mean,s_winsize_max,d_bytes_max,syn_ack,s_port,d_iat_med,tcp_rtt,ack_cnt,s_ttl_sum,d_bytes_med,s_iat_med,d_iat_std,d_iat_min,s_pkt_cnt,d_port,d_pkt_cnt,psh_cnt,s_bytes_med,ack_dat,s_iat_min,s_ttl_min,s_ttl_max,s_ttl_med,s_ttl_mean,d_bytes_min,s_bytes_min,fin_cnt,d_ttl_std,rst_cnt,syn_cnt,proto,pkt_depth,neg_f1_score,compute_cost,Timestamp
false,false,false,true,true,false,true,false,false,false,true,true,true,true,true,true,true,true,false,false,true,true,true,true,false,true,false,false,false,true,true,false,false,false,true,false,true,true,false,true,true,false,false,true,true,true,true,true,false,false,false,false,true,false,true,true,false,true,false,false,false,false,false,1,-0.8765364650027906,100.0,40404
false,true,true,false,false,false,true,false,false,true,true,true,false,true,true,false,true,false,true,false,true,true,true,true,true,true,false,false,false,true,true,true,false,true,true,false,false,true,false,false,true,false,true,false,true,false,false,true,false,false,false,false,false,false,false,true,true,false,false,true,false,false,false,1,-0.6393248139250974,90.0,80245
true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,false,false,true,true,true,true,true,false,false,true,true,true,true,true,false,true,true,false,false,true,true,false,true,true,false,false,false,false,true,false,false,false,false,false,true,true,false,false,true,false,3,-0.9674009242633953,320.0,121196
true,false,true,true,true,true,true,true,true,true,false,false,true,true,false,true,false,true,true,true,true,true,true,true,false,false,true,true,false,false,false,false,false,true,true,true,true,false,false,false,true,false,true,true,true,false,false,false,false,false,false,false,true,false,false,false,false,false,true,true,false,true,false,1,-0.7611686122563712,90.0,161645
true,true,true,false,true,true,true,true,true,false,true,false,false,true,false,true,true,true,true,false,false,true,false,true,true,false,true,true,false,false,true,false,false,false,true,true,true,false,true,false,false,false,false,true,true,true,false,false,true,false,true,false,false,false,false,true,true,true,true,false,true,false,false,2,-0.8342722307632982,180.0,202178
false,false,false,true,false,false,true,false,true,true,true,false,true,false,true,false,false,true,false,true,true,true,false,true,true,false,false,false,true,false,true,true,true,false,false,true,false,false,true,true,false,true,true,true,true,true,true,false,false,true,true,false,true,true,true,true,false,false,false,false,true,false,false,2,-0.9045389371379577,320.0,246661
false,true,true,true,false,true,false,false,true,false,false,true,true,false,false,false,true,true,true,false,true,false,true,true,true,true,false,true,true,true,false,true,false,false,true,true,true,true,false,false,true,false,false,true,true,true,false,true,false,false,false,true,true,true,false,true,false,true,true,false,true,true,true,1,-0.7611686122563712,100.0,291135
false,false,false,false,false,false,true,false,false,false,false,true,true,false,false,false,false,false,true,false,true,false,true,true,true,false,true,false,false,false,false,false,false,true,false,false,false,false,false,true,false,true,true,true,true,true,true,true,false,true,false,true,true,true,true,true,false,false,true,true,true,false,false,1,-0.7938337917211957,110.0,334978
false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,false,false,true,true,false,false,true,true,true,true,false,false,true,false,false,true,false,false,true,false,true,true,false,false,false,true,false,true,false,true,true,true,false,true,true,false,false,false,true,true,true,false,true,true,false,false,false,1,-0.831776763677645,110.0,375075
false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,true,false,true,false,true,false,true,false,true,true,true,false,false,false,true,true,true,false,false,false,true,false,true,true,false,false,false,false,false,false,true,true,false,true,true,true,true,true,false,false,false,false,false,3,-0.7695342099732794,520.0,420138
true,true,false,false,false,true,false,false,true,true,false,false,true,true,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,true,false,true,true,true,false,true,true,false,true,true,false,true,true,false,false,false,true,true,false,false,true,false,false,true,false,true,true,false,true,false,false,false,3,-0.941391482464453,370.0,460335
false,true,true,true,true,false,false,false,true,true,false,false,false,false,true,true,true,true,false,true,true,true,true,false,true,true,false,true,false,false,true,true,false,true,false,false,false,true,false,true,true,false,false,true,true,false,false,true,false,true,true,false,false,false,true,true,false,true,true,false,false,false,false,1,-0.6393248139250974,140.0,505419
false,true,false,false,false,false,true,false,true,true,false,false,true,true,true,false,true,true,false,false,false,true,true,true,false,true,true,false,false,false,false,false,false,true,true,true,true,false,false,true,true,false,false,true,false,false,true,true,false,false,false,false,true,false,true,true,false,true,false,false,true,false,false,1,-0.8765364650027906,170.0,549855
false,true,true,false,true,false,false,false,false,true,false,false,true,true,false,false,true,false,false,false,true,true,true,false,false,true,true,false,false,false,true,false,true,true,true,false,false,false,true,true,true,false,false,true,false,false,false,false,true,true,false,false,false,false,true,false,true,false,false,true,false,false,false,2,-0.8497416061012655,240.0,594063
false,true,true,true,true,false,true,false,false,true,false,false,false,true,false,true,false,true,true,false,false,false,true,true,false,true,false,false,true,true,false,true,false,true,true,false,true,false,true,false,true,false,false,false,true,false,true,false,true,true,false,false,true,false,false,true,false,false,false,false,false,true,false,1,-0.8765364650027906,110.0,639157
false,false,false,false,true,false,true,false,true,true,true,false,false,true,true,false,true,false,true,false,true,false,true,true,false,false,false,false,false,false,true,false,true,true,false,false,false,true,false,false,false,true,false,false,false,true,false,false,false,false,true,true,false,false,false,true,false,false,true,true,true,false,true,1,-0.6393248139250974,80.0,683997
false,false,true,true,false,false,true,false,true,true,false,true,true,true,true,true,true,false,false,true,false,true,true,true,true,true,false,false,true,false,false,false,true,true,false,true,false,false,false,false,false,true,false,true,true,false,false,false,false,true,true,true,false,false,false,false,true,false,false,false,false,false,false,3,-0.8619136915109367,330.0,728826
true,true,true,true,true,true,true,false,false,true,false,true,true,false,true,false,true,true,true,false,true,false,true,false,false,false,true,true,false,true,true,true,true,true,false,false,true,false,true,true,true,false,true,false,false,true,false,false,false,false,false,true,false,false,true,false,false,true,true,false,true,false,false,1,-0.7611686122563712,140.0,774677
true,false,true,true,true,true,true,false,true,true,false,true,true,true,false,true,true,false,true,true,false,false,true,true,false,false,false,true,true,true,true,false,true,true,true,true,true,true,false,true,false,true,true,true,true,true,true,true,false,false,false,true,false,true,false,false,true,true,true,false,true,false,false,2,-0.9074399594907407,260.0,820508
