name,cnt,rec,avg,min,p05,p25,p50,p75,p95,p99,p999,max
update,10667,10667,91.534,80,80,90,90,90,100,130,330,2131
extract_features,10667,10667,34.333,30,30,30,30,40,40,60,130,1250
compute_ns,10667,10667,84.498,70,70,80,80,90,90,130,320,3051
