name,cnt,rec,avg,min,p05,p25,p50,p75,p95,p99,p999,max
update,10667,10667,84.077,70,80,80,80,80,90,120,300,8503
extract_features,10667,10667,29.483,20,20,30,30,30,30,50,110,910
compute_ns,10667,10667,70.909,50,60,70,70,70,80,110,300,8463
