name,cnt,rec,avg,min,p05,p25,p50,p75,p95,p99,p999,max
update,10667,10667,107.044,80,80,80,80,90,180,470,1880,14823
extract_features,10667,10667,49.640,30,30,40,40,40,100,220,1750,3461
compute_ns,10667,10667,107.033,60,70,80,80,90,200,510,2831,14823
